Norma,Escala Normativa,Ambito Territorial,CCAA,Provincia,Ciudad,URL,Codigo del Documento,Sostenibilidad Económica,Sostenibilidad Ambiental,Cambio Climático,Sostenibilidad Social,Gobernanza Urbana,Comentario,Etiquetador,Fecha Etiquetado,Validador,Fecha Validado,Sostenibilidad Económica.1,Sostenibilidad Ambiental.1,Cambio Climático.1,Sostenibilidad Social.1,Gobernanza Urbana.1,Norma_translated
Council Directive 2002/53/EC of 13 June 2002 on the common catalogue of varieties of agricultural plant species ,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32002L0053,1,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200; ,,,,"Directiva 2002/53/CE del Consejo, de 13 de junio de 2002, relativa al catálogo común de variedades de especies de plantas agrícolas"
"Delegated Regulation (EU) 2019/887 on the model financial regulation for public-private partnership bodies referred to in Article 71 of Regulation (EU, Euratom) 2018/1046",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32019R0887,2,E00000001000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000; ,,,,,"Reglamento Delegado (UE) 2019/887 sobre el Reglamento financiero modelo para los organismos de asociación público-privada a que se refiere el artículo 71 del Reglamento (UE, Euratom) 2018/1046"
Regulation (EU) 2016/369 on the provision of emergency support within the EU,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32016R0369,3,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000100000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,CLI_060100; ,,,Reglamento (UE) 2016/369 sobre la prestación de ayuda de emergencia en la UE
The EU’s new energy market design — COM(2015) 340 final,DOC_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52015DC0340,4,E00000001000000,A000000000000000000000000000000000000010000,C10000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,ECO_070000,AMB_021205,CLI_010000,,,El nuevo diseño del mercado de la energía de la UE — COM(2015) 340 final
Council Directive 2004/113/EC of 13 December 2004 implementing the principle of equal treatment between men and women in the access to and supply of goods and services,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32004L0113,5,E00000000000000,A000000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000010000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,,,SOC_040000,,"Directiva 2004/113/CE del Consejo, de 13 de diciembre de 2004, por la que se aplica el principio de igualdad de trato entre hombres y mujeres en el acceso a bienes y servicios y su suministro"
"Regulation (EC) No 889/2008 laying down detailed rules with regard to organic production, labelling and control",REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32008R0889,6,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,"Reglamento (CE) no 889/2008 por el que se establecen disposiciones de aplicación relativas a la producción, el etiquetado y el control ecológicos"
Directive 91/676/EEC concerning the protection of waters against pollution caused by nitrates from agricultural sources,DIR_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:31991L0676,7,E00000000000000,A000100000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010300,,,,Directiva 91/676/CEE relativa a la protección de las aguas contra la contaminación causada por nitratos de origen agrícola
Regulation (EC) No 396/2005 on maximum residue levels of pesticides in or on food and feed of plant and animal origin,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32005R0396,8,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Reglamento (CE) no 396/2005 sobre los límites máximos de residuos de plaguicidas en alimentos y piensos de origen vegetal y animal
Regulation (EC) No 1829/2003 on genetically modified food and feed,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32003R1829,9,E00000000000000,A001000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010200,,,,Reglamento (CE) no 1829/2003 sobre alimentos y piensos modificados genéticamente
Regulation (EU) 2019/1009 — laying down rules on the making available on the market of EU fertilising products,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32019R1009,10,E00000000000000,A010000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010100,,,,Reglamento (UE) 2019/1009 — por el que se establecen normas relativas a la comercialización de productos fertilizantes de la UE
Regulation (EU) 2019/1021 on persistent organic pollutants,REG_UE,COM,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32019R1021,11,E00000000000000,A010000000000000000000000000000000000000000,C00000000000000000000000000000000000000000000000,S00000000000000000000000000000000000000,G000000000000000000000,English/ spanish and other EU languages,,,,,,AMB_010100,,,,Reglamento (UE) 2019/1021 sobre contaminantes orgánicos persistentes
